Node1,Node2,Force,pair_type
group_6693,group_15977,-0.4990161844,gene-gene-assoc
group_6693,group_2461,-0.4990161844,gene-gene-assoc
group_6693,group_16275,-0.4994837068,gene-gene-assoc
group_6693,group_6692,-0.497756516,gene-gene-assoc
group_6693,group_6438,-0.4990161844,gene-gene-assoc
group_6693,cpaB,-0.4990161844,gene-gene-assoc
group_6693,group_6423,-0.497756516,gene-gene-assoc
group_6693,group_4994,-0.4990161844,gene-gene-assoc
group_6693,group_4975,-0.497756516,gene-gene-assoc
group_6693,group_4974,-0.4990161844,gene-gene-assoc
group_6693,group_5371,-0.4990161844,gene-gene-assoc
group_6693,group_2486,-0.4990161844,gene-gene-assoc
group_1759,group_14793,-0.4959417204,gene-gene-assoc
group_1759,group_14338,-0.4959417204,gene-gene-assoc
group_14792,group_14793,-0.4959417204,gene-gene-assoc
group_14792,group_14338,-0.4959417204,gene-gene-assoc
group_14792,group_1759,-0.4959417204,gene-gene-assoc
group_16534,group_17689,-0.4994837068,gene-gene-assoc
ulaD,ulaR,-0.49987306465,gene-gene-assoc
group_7432,ulaR,-0.49987306465,gene-gene-assoc
group_7432,ulaD,-0.49987306465,gene-gene-assoc
group_6564,group_7433,-0.4959417204,gene-gene-assoc
araD,ulaR,-0.49980720406,gene-gene-assoc
araD,ulaD,-0.49980720406,gene-gene-assoc
araD,group_7432,-0.49980720406,gene-gene-assoc
group_5179,ulaR,-0.49980720406,gene-gene-assoc
group_5179,ulaD,-0.49980720406,gene-gene-assoc
group_5179,group_7432,-0.49980720406,gene-gene-assoc
group_5179,araD,-0.49980720406,gene-gene-assoc
ulaG,ulaR,-0.49980720406,gene-gene-assoc
ulaG,ulaD,-0.49980720406,gene-gene-assoc
ulaG,group_7432,-0.49980720406,gene-gene-assoc
ulaG,araD,-0.49980720406,gene-gene-assoc
ulaG,group_5179,-0.49980720406,gene-gene-assoc
group_10321,group_4856,-0.491180628,gene-gene-assoc
group_10321,group_11891,-0.481589217,gene-gene-assoc
group_8503,ulaR,-0.49980720406,gene-gene-assoc
group_8503,ulaD,-0.49980720406,gene-gene-assoc
group_8503,group_7432,-0.49980720406,gene-gene-assoc
group_8503,araD,-0.49980720406,gene-gene-assoc
group_8503,group_5179,-0.49980720406,gene-gene-assoc
group_8503,ulaG,-0.49980720406,gene-gene-assoc
group_8293,ulaR,-0.49987306465,gene-gene-assoc
group_8293,ulaD,-0.49987306465,gene-gene-assoc
group_8293,group_7432,-0.49987306465,gene-gene-assoc
group_8293,araD,-0.49980720406,gene-gene-assoc
group_8293,group_5179,-0.49980720406,gene-gene-assoc
group_8293,ulaG,-0.49980720406,gene-gene-assoc
group_8293,group_8503,-0.49980720406,gene-gene-assoc
group_5178,ulaR,-0.49987306465,gene-gene-assoc
group_5178,ulaD,-0.49987306465,gene-gene-assoc
group_5178,group_7432,-0.49987306465,gene-gene-assoc
group_5178,araD,-0.49980720406,gene-gene-assoc
group_5178,group_5179,-0.49980720406,gene-gene-assoc
group_5178,ulaG,-0.49980720406,gene-gene-assoc
group_5178,group_8503,-0.49980720406,gene-gene-assoc
group_5178,group_8293,-0.5,gene-gene-assoc
group_2807,ulaR,-0.49980720406,gene-gene-assoc
group_2807,ulaD,-0.49980720406,gene-gene-assoc
group_2807,group_7432,-0.49980720406,gene-gene-assoc
group_2807,araD,-0.49980720406,gene-gene-assoc
group_2807,group_5179,-0.49980720406,gene-gene-assoc
group_2807,ulaG,-0.49980720406,gene-gene-assoc
group_2807,group_8503,-0.49987306465,gene-gene-assoc
group_2807,group_8293,-0.49980720406,gene-gene-assoc
group_2807,group_5178,-0.49980720406,gene-gene-assoc
group_6514,group_11414,-0.49963324543,gene-gene-assoc
group_6514,group_12165,-0.49980720406,gene-gene-assoc
group_9834,group_15755,-0.4959417204,gene-gene-assoc
group_9834,group_7393,-0.462862015,gene-gene-assoc
group_9590,group_8243,-0.462862015,gene-gene-assoc
group_9590,group_15755,-0.481589217,gene-gene-assoc
group_9590,group_7393,-0.462862015,gene-gene-assoc
group_9590,group_9834,-0.5,gene-gene-assoc
group_9557,group_4999,-0.462862015,gene-gene-assoc
group_9557,group_8243,-0.4959417204,gene-gene-assoc
group_9557,norW,-0.462862015,gene-gene-assoc
group_9557,group_8153,-0.481589217,gene-gene-assoc
group_9557,yidZ,-0.481589217,gene-gene-assoc
group_9557,group_9707,-0.462862015,gene-gene-assoc
group_9557,group_15755,-0.4994837068,gene-gene-assoc
group_9557,group_5407,-0.481589217,gene-gene-assoc
group_9557,group_16933,-0.462862015,gene-gene-assoc
group_9557,group_7393,-0.491180628,gene-gene-assoc
group_9557,group_9834,-0.5,gene-gene-assoc
group_9557,group_9590,-0.5,gene-gene-assoc
group_16535,group_17689,-0.4994837068,gene-gene-assoc
group_16535,group_16534,-0.4994837068,gene-gene-assoc
group_11743,group_11795,-0.497756516,gene-gene-assoc
group_4011,group_431,-0.4990161844,gene-gene-assoc
group_9836,group_8243,-0.462862015,gene-gene-assoc
group_9836,group_15755,-0.481589217,gene-gene-assoc
group_9836,group_9834,-0.5,gene-gene-assoc
group_9836,group_9590,-0.5,gene-gene-assoc
group_9836,group_9557,-0.5,gene-gene-assoc
group_8517,group_7991,-0.481589217,gene-gene-assoc
group_1673,group_4856,-0.491180628,gene-gene-assoc
group_1673,group_6354,-0.491180628,gene-gene-assoc
group_1673,group_7870,-0.491180628,gene-gene-assoc
group_1673,group_7310,-0.491180628,gene-gene-assoc
group_1673,group_6398,-0.491180628,gene-gene-assoc
group_1673,group_4941,-0.481589217,gene-gene-assoc
group_1673,group_11891,-0.497756516,gene-gene-assoc
group_8774,group_8872,-0.49980720406,gene-gene-assoc
waaA,group_11414,-0.5,gene-gene-assoc
waaA,group_12165,-0.5,gene-gene-assoc
waaA,group_6514,-0.49980720406,gene-gene-assoc
group_8527,group_11414,-0.5,gene-gene-assoc
group_8527,group_12165,-0.5,gene-gene-assoc
group_8527,group_6514,-0.49980720406,gene-gene-assoc
group_8527,waaA,-0.5,gene-gene-assoc
group_8314,group_7991,-0.481589217,gene-gene-assoc
group_8314,group_8517,-0.491180628,gene-gene-assoc
group_5551,group_10622,-0.491180628,gene-gene-assoc
group_11892,group_6398,-0.497756516,gene-gene-assoc
group_11892,group_4941,-0.481589217,gene-gene-assoc
group_11892,group_11891,-0.5,gene-gene-assoc
group_11892,group_1673,-0.4990161844,gene-gene-assoc
group_5074,group_8196,-0.462862015,gene-gene-assoc
group_10523,group_13618,-0.5,gene-gene-assoc
group_8785,group_11414,-0.5,gene-gene-assoc
group_8785,group_12165,-0.5,gene-gene-assoc
group_8785,group_6514,-0.49980720406,gene-gene-assoc
group_8785,waaA,-0.5,gene-gene-assoc
group_8785,group_8527,-0.5,gene-gene-assoc
group_2625,group_8196,-0.462862015,gene-gene-assoc
group_2625,group_5074,-0.5,gene-gene-assoc
group_16715,group_13618,-0.49963324543,gene-gene-assoc
group_16715,group_10523,-0.49963324543,gene-gene-assoc
group_11899,group_8243,-0.491180628,gene-gene-assoc
