ID	Result
araQ_2	-0.206097884894934
ndk	-29.4589002975357
group_4970	-0.226578811366581
rpoC	-17.7091318518434
group_4670	25.5433053079401
group_527	-0.100919703100223
bltD	-0.374437693319025
gph_2	1.11897482336598
group_4701	-0.165839921799956
group_5516	-0.226122952126596
natA_2	0.793805704236417
group_5990	-0.427893802788747
group_4718	-0.694749739697651
group_3090	-0.238816753011711
miaA	-0.742832175836436
group_3905	-0.0402841901060545
group_4735	16.8554989488818
lmrA_2	-0.132885294180489
tilS	-14.386440671083
group_756	0.357423618892373
pepQ	8.51971836483819
group_8351	-0.327486089800348
group_4775	-15.130434843383
phnU	-0.332674052336155
group_4779	-29.7249970191832
group_1122	-0.331796771064605
gltX	-14.5595507374032
group_2703	-0.343302978165317
group_4835	1.60209983177981
group_279	0.0932788203992014
