12B01	GCA_000152765.1
10N.261.48.E3	GCA_002876125.1
10N.261.52.A10	GCA_002877105.1
10N.286.55.B10	GCA_020806255.1
10N.286.49.E9	GCA_002873435.1
10N.286.48.A4	GCA_002874305.1
10N.222.51.B10	GCA_002875285.1
10N.261.51.B7	GCA_002876165.1
10N.261.51.F9	GCA_002877115.1
10N.222.52.C2	GCA_020806285.1
10N.286.49.F1	GCA_002873455.1
10N.286.46.C9	GCA_002874335.1
10N.222.51.B4	GCA_002875305.1
10N.261.51.A7	GCA_002876185.1
10N.261.52.F10	GCA_002877145.1
10N.222.52.A11	GCA_020806295.1
10N.286.49.F5	GCA_002873485.1
10N.286.48.B5	GCA_002874355.1
10N.222.51.C2	GCA_002875315.1
10N.261.49.C1	GCA_002876195.1
10N.261.52.F8	GCA_002877185.1
10N.222.55.B3	GCA_020806305.1
10N.286.51.B1	GCA_002873515.1
10N.286.48.F3	GCA_002874375.1
10N.222.51.F8	GCA_002875345.1
10N.261.51.B8	GCA_002876225.1
10N.261.52.F2	GCA_002877195.1
10N.261.49.F6	GCA_020806365.1
10N.286.51.A7	GCA_002873525.1
10N.286.49.C2	GCA_002874415.1
10N.222.51.E3	GCA_002875355.1
10N.261.51.E11	GCA_002876245.1
10N.261.54.A2	GCA_002877235.1
10N.222.49.B8	GCA_020806385.1
